Circuit,Year,Driver,LapNumber,Stint,LapInStint,Compound,LapTimeSec,FuelRemainingKg,FuelPenaltySec,FuelCorrectedPaceSec,GapAheadSec,SessionProgression,TrackTemp,AirTemp,ObservedLapDeltaSec
Bahrain,2023,ALB,7.0,1.0,7.0,SOFT,100.646,92.4,3.0492000000000004,100.2302,1.8170000000000073,0.12280701754385964,30.9,27.1,3.1178000000000026
Bahrain,2023,SAR,7.0,1.0,7.0,SOFT,100.892,92.4,3.0492000000000004,100.47619999999999,0.8550000000004729,0.12280701754385964,30.9,27.1,3.6651999999999987
Bahrain,2023,TSU,7.0,1.0,7.0,SOFT,100.952,92.4,3.0492000000000004,100.5362,0.8899999999994179,0.12280701754385964,30.9,27.1,3.9295999999999935
Bahrain,2023,HUL,7.0,1.0,10.0,SOFT,101.148,92.4,3.0492000000000004,100.73219999999999,0.9090000000005602,0.12280701754385964,30.9,27.1,4.287999999999997
Bahrain,2023,PIA,7.0,1.0,7.0,SOFT,101.167,92.4,3.0492000000000004,100.7512,0.8939999999993233,0.12280701754385964,30.9,27.1,0.45170000000000243
Bahrain,2023,ZHO,7.0,1.0,7.0,SOFT,101.197,92.4,3.0492000000000004,100.7812,0.581000000000131,0.12280701754385964,30.9,27.1,3.3670000000000044
Bahrain,2023,DEV,7.0,1.0,7.0,SOFT,101.166,92.4,3.0492000000000004,100.75019999999999,0.7699999999995271,0.12280701754385964,30.9,27.1,0.6131000000000029
Bahrain,2023,MAG,7.0,1.0,7.0,HARD,101.526,92.4,3.0492000000000004,101.11019999999999,2.1369999999997162,0.12280701754385964,30.9,27.1,2.6899999999999977
Bahrain,2023,VER,8.0,1.0,11.0,SOFT,98.154,90.6,2.9898,97.6788,15.0,0.14035087719298245,30.9,27.1,0.722999999999999
Bahrain,2023,LEC,8.0,1.0,8.0,SOFT,98.614,90.6,2.9898,98.1388,5.832999999999629,0.14035087719298245,30.9,27.1,0.004199999999997317
Bahrain,2023,PER,8.0,1.0,11.0,SOFT,99.172,90.6,2.9898,98.6968,1.606999999999971,0.14035087719298245,30.9,27.1,1.8807999999999936
Bahrain,2023,SAI,8.0,1.0,11.0,SOFT,99.779,90.6,2.9898,99.3038,3.891000000000531,0.14035087719298245,30.9,27.1,0.7426999999999992
Bahrain,2023,HAM,8.0,1.0,11.0,SOFT,100.267,90.6,2.9898,99.7918,2.4849999999996726,0.14035087719298245,30.9,27.1,1.051400000000001
Bahrain,2023,RUS,8.0,1.0,11.0,SOFT,100.31,90.6,2.9898,99.8348,1.0270000000000437,0.14035087719298245,30.9,27.1,1.06580000000001
Bahrain,2023,ALO,8.0,1.0,11.0,SOFT,99.959,90.6,2.9898,99.4838,1.0579999999999927,0.14035087719298245,30.9,27.1,0.41100000000000136
Bahrain,2023,STR,8.0,1.0,11.0,SOFT,99.801,90.6,2.9898,99.3258,1.4639999999999418,0.14035087719298245,30.9,27.1,0.1671000000000049
Bahrain,2023,BOT,8.0,1.0,8.0,SOFT,100.387,90.6,2.9898,99.9118,3.043000000000575,0.14035087719298245,30.9,27.1,0.6918000000000006
Bahrain,2023,OCO,8.0,1.0,11.0,SOFT,100.562,90.6,2.9898,100.0868,1.9489999999996144,0.14035087719298245,30.9,27.1,0.6950000000000074
Bahrain,2023,ALB,8.0,1.0,8.0,SOFT,100.918,90.6,2.9898,100.4428,2.1729999999997744,0.14035087719298245,30.9,27.1,3.389800000000008
Bahrain,2023,SAR,8.0,1.0,8.0,SOFT,100.868,90.6,2.9898,100.3928,0.8659999999999854,0.14035087719298245,30.9,27.1,3.6411999999999978
Bahrain,2023,TSU,8.0,1.0,8.0,SOFT,100.846,90.6,2.9898,100.3708,0.8680000000003929,0.14035087719298245,30.9,27.1,3.823599999999999
Bahrain,2023,HUL,8.0,1.0,11.0,SOFT,101.249,90.6,2.9898,100.7738,1.3119999999998981,0.14035087719298245,30.9,27.1,4.388999999999996
Bahrain,2023,PIA,8.0,1.0,8.0,SOFT,101.295,90.6,2.9898,100.8198,0.9399999999995998,0.14035087719298245,30.9,27.1,0.5797000000000025
Bahrain,2023,ZHO,8.0,1.0,8.0,SOFT,101.184,90.6,2.9898,100.7088,0.47000000000025466,0.14035087719298245,30.9,27.1,3.353999999999999
Bahrain,2023,DEV,8.0,1.0,8.0,SOFT,101.23,90.6,2.9898,100.7548,0.8270000000002256,0.14035087719298245,30.9,27.1,0.67710000000001
Bahrain,2023,MAG,8.0,1.0,8.0,HARD,101.283,90.6,2.9898,100.8078,2.1899999999996,0.14035087719298245,30.9,27.1,2.4470000000000027
Bahrain,2023,VER,9.0,1.0,12.0,SOFT,98.278,88.8,2.9304,97.74340000000001,15.0,0.15789473684210525,30.8,27.1,0.8470000000000084
Bahrain,2023,LEC,9.0,1.0,9.0,SOFT,98.828,88.8,2.9304,98.2934,6.382999999999811,0.15789473684210525,30.8,27.1,0.21819999999999595
Bahrain,2023,PER,9.0,1.0,12.0,SOFT,98.914,88.8,2.9304,98.3794,1.693000000000211,0.15789473684210525,30.8,27.1,1.622799999999998
Bahrain,2023,SAI,9.0,1.0,12.0,SOFT,99.744,88.8,2.9304,99.2094,4.720999999999549,0.15789473684210525,30.8,27.1,0.7077000000000027
Bahrain,2023,HAM,9.0,1.0,12.0,SOFT,100.323,88.8,2.9304,99.7884,3.0640000000003056,0.15789473684210525,30.8,27.1,1.1073999999999984
Bahrain,2023,RUS,9.0,1.0,12.0,SOFT,100.42,88.8,2.9304,99.8854,1.1239999999997963,0.15789473684210525,30.8,27.1,1.1758000000000095
