Compound,LapInStint,MeanIsolatedPaceDeltaSec,StdDevSec,Lower1SigmaSec,Upper1SigmaSec,SampleCount
MEDIUM,12,0.6015799285236475,0.7429237511059692,-0.1413438225823217,1.3445036796296166,62
MEDIUM,13,0.6086199186266821,0.6547751189946713,-0.04615520036798926,1.2633950376213534,46
MEDIUM,14,0.576183321580031,0.5066923486795037,0.0694909729005273,1.0828756702595348,42
MEDIUM,15,0.629766139379653,0.5692161162058778,0.060550023173775225,1.1989822555855307,40
MEDIUM,16,0.7067555272373427,0.5838065730380778,0.12294895419926488,1.2905621002754204,38
MEDIUM,17,0.8265447234811044,0.545124772838013,0.28141995064309144,1.3716694963191174,34
MEDIUM,18,0.7777073854960933,0.5273011781573534,0.25040620733873986,1.3050085636534468,32
MEDIUM,19,0.7825752664623765,0.5369359331088505,0.24563933335352606,1.319511199571227,31
MEDIUM,20,0.8975828317180979,0.6170976549495895,0.2804851767685085,1.5146804866676873,28
MEDIUM,21,0.8045686910611137,0.6698417653862092,0.13472692567490452,1.4744104564473228,28
MEDIUM,22,0.9653208898540577,0.8819704746954952,0.08335041515856256,1.847291364549553,25
MEDIUM,23,1.0756804313857202,0.9778871916150783,0.09779323977064192,2.0535676230007986,24
MEDIUM,24,1.0127989920896878,0.7159906806930572,0.29680831139663066,1.728789672782745,22
MEDIUM,25,0.8245045016345436,0.5495543824046168,0.27495011922992674,1.3740588840391603,20
MEDIUM,26,0.830815999100581,0.4062965988139621,0.42451940028661894,1.237112597914543,17
MEDIUM,27,0.9809300583319173,0.6069643236224813,0.37396573470943595,1.5878943819543987,15
MEDIUM,28,1.2189488192381617,0.6570964373705209,0.5618523818676407,1.8760452566086827,10
MEDIUM,29,1.0231435329589744,0.630781256866122,0.39236227609285246,1.6539247898250964,7
HARD,2,0.3863475764523789,0.7320547820458292,-0.3457072055934503,1.1184023584982081,105
HARD,3,0.47570391838309567,0.689742023327098,-0.21403810494400233,1.1654459417101937,114
HARD,4,0.4730398718740703,0.594488078453331,-0.12144820657926064,1.0675279503274013,118
HARD,5,0.6045498391205186,0.7217084964168471,-0.11715865729632846,1.3262583355373656,117
HARD,6,0.6404896823150076,0.6400336515933861,0.00045603072162148095,1.2805233339083937,116
HARD,7,0.6694900429736744,0.6128013725158782,0.05668867045779624,1.2822914154895526,113
HARD,8,0.6333310848678021,0.5742270719747432,0.05910401289305889,1.2075581568425453,114
HARD,9,0.6996144316039594,0.5875917023295593,0.11202272927440016,1.2872061339335188,113
HARD,10,0.7174158330763225,0.5906630207762691,0.12675281230005342,1.3080788538525916,109
HARD,11,0.7708435079302215,0.5686342306827751,0.20220927724744642,1.3394777386129966,108
HARD,12,0.833556236082649,0.5773676191164918,0.25618861696615713,1.4109238551991408,110
HARD,13,0.9094093048918973,0.6395610099921065,0.2698482948997908,1.548970314884004,108
HARD,14,0.9949761925992974,0.6871605072178614,0.307815685381436,1.6821366998171587,105
HARD,15,1.0586832735472704,0.6988484615414344,0.359834812005836,1.7575317350887047,101
HARD,16,1.0633628453703619,0.6533895940374888,0.4099732513328731,1.7167524394078506,96
HARD,17,1.0346275693863916,0.6287637857541395,0.40586378363225206,1.663391355140531,94
HARD,18,0.9931120823156906,0.5870048608850719,0.4061072214306187,1.5801169432007625,86
HARD,19,1.0241174349493884,0.6374463968613392,0.38667103808804926,1.6615638318107275,83
HARD,20,0.9740169948718042,0.5944872652747167,0.3795297295970874,1.568504260146521,75
HARD,21,0.9430328723136105,0.5419603297934984,0.40107254252011215,1.484993202107109,70
HARD,22,1.058703059297394,0.6942880612359035,0.3644149980614906,1.7529911205332975,66
HARD,23,1.0990648351568209,0.702080687396523,0.3969841477602979,1.8011455225533437,60
HARD,24,1.1992610769182397,0.7889951352559366,0.4102659416623031,1.9882562121741763,52
HARD,25,1.1966851816487951,0.8010186419572234,0.39566653969157173,1.9977038236060185,46
HARD,26,1.1830352775427406,0.6107581219444808,0.5722771555982599,1.7937933994872215,40
HARD,27,0.9192786515604092,0.45944887338954954,0.4598297781708597,1.3787275249499586,30
HARD,28,1.1406357652773271,0.6146993770460655,0.5259363882312617,1.7553351423233927,24
HARD,29,1.0499089523382286,0.7961077317373356,0.25380122060089294,1.8460166840755643,20
HARD,30,1.1557294012951376,0.8101323004706698,0.3455971008244678,1.9658617017658073,16
HARD,31,0.9986767502875199,0.7056946895795698,0.2929820607079501,1.7043714398670897,11
HARD,32,1.266544746221185,1.2927275000703684,-0.02618275384918345,2.5592722462915534,9
HARD,33,1.4114064113598073,1.1639294846747608,0.2474769266850465,2.5753358960345683,6
HARD,34,0.9681029496037322,0.5582742606246038,0.4098286889791284,1.5263772102283362,5
HARD,35,1.1941511602324018,0.6815010162864482,0.5126501439459535,1.8756521765188499,5
